test-01.dat Yes 0.000000
test-02.dat Yes 0.000000
test-03.dat Yes 0.269934
test-04.dat Yes 0.000000
test-05.dat Yes 0.303154
test-06.dat Yes 0.191955
test-07.dat Yes 0.098893
test-08.dat Yes 0.000000
test-09.dat Yes 0.000000
test-10.dat Yes 0.003016
test-11.dat Yes 0.000000
test-12.dat Yes 0.000000
test-13.dat Yes 0.000000
test-14.dat Yes 0.151901
test-15.dat Yes 0.000000
test-16.dat Yes 0.000000
test-17.dat Yes 0.000000
test-18.dat Yes 0.135236
test-19.dat Yes 0.000000
test-20.dat Yes 0.501417
test-21.dat Yes 0.000000
test-22.dat Yes 0.000000
test-23.dat Yes 0.700627
test-24.dat Yes 0.411599
test-25.dat Yes 0.000000
test-26.dat Yes 0.308155
test-27.dat Yes 0.000000
test-28.dat Yes 0.672406
test-29.dat Yes 0.327171
test-30.dat Yes 0.000000
test-31.dat Yes 0.000000
test-32.dat Yes 0.489005
test-33.dat Yes 0.000000
test-34.dat Yes 0.000000
test-35.dat Yes 0.000000
test-36.dat Yes 0.000000
test-37.dat Yes 0.029166
test-38.dat Yes 0.722516
test-39.dat Yes 0.330144
test-40.dat Yes 0.352174
test-41.dat Yes 0.487766
test-42.dat Yes 0.277712
test-43.dat Yes 0.000000
test-44.dat Yes 0.000000
test-45.dat Yes 0.018886
test-46.dat Yes 0.019220
test-47.dat Yes 0.146869
test-48.dat Yes 0.487711
test-49.dat Yes 0.000000
test-50.dat Yes 0.428522
test-51.dat Yes 0.000000
test-52.dat Yes 0.080805
test-53.dat Yes 0.106763
test-54.dat Yes 0.404858
test-55.dat Yes 0.000000
test-56.dat Yes 0.182361
test-57.dat Yes 0.000000
test-58.dat Yes 0.158830
test-59.dat Yes 0.545643
test-60.dat Yes 0.000000
test-61.dat Yes 0.000000
test-62.dat Yes 0.294952
test-63.dat Yes 0.000000
test-64.dat Yes 0.000000
test-65.dat Yes 0.401644
test-66.dat Yes 0.249808
test-67.dat Yes 0.482332
test-68.dat Yes 0.000000
test-69.dat Yes 0.439193
test-70.dat Yes 0.472783
test-71.dat Yes 0.000000
test-72.dat Yes 0.000000
test-73.dat Yes 0.000000
test-74.dat Yes 0.000000
test-75.dat Yes 0.588297
test-76.dat Yes 0.596926
test-77.dat Yes 0.000000
test-78.dat Yes 0.201014
test-79.dat Yes 0.202817
test-80.dat Yes 0.000000
test-81.dat Yes 0.000000
test-82.dat Yes 0.267371
test-83.dat Yes 0.000000
test-84.dat Yes 0.082513
test-85.dat Yes 0.312426
test-86.dat Yes 0.000000
test-87.dat Yes 0.514002
test-88.dat Yes 0.211930
test-89.dat Yes 0.311519
test-90.dat Yes 0.000000
test-91.dat Yes 0.000000
test-92.dat Yes 0.238022
test-93.dat Yes 0.229611
test-94.dat Yes 0.422304
test-95.dat Yes 0.400122
test-96.dat Yes 0.388381
