238 1 1.079 1
383 1 0.303 1
399 1 0.286 1
384 1 0.296 1
397 1 0.253 1
654 1 0.264 1
167 1 0.249 1
385 1 0.253 1
193 1 0.262 1
239 1 0.276 1
558 1 0.273 1
402 1 0.268 1
418 1 0.283 1
420 1 0.286 1
396 1 0.296 1
389 1 0.282 1
165 1 0.263 1
417 1 0.276 1
386 1 0.279 1
415 1 0.25 1
216 1 0.275 1
559 1 0.251 1
382 1 0.275 1
388 1 0.288 1
403 1 0.274 1
298 1 0.265 1
386 1 0.257 1
400 1 0.27 1
302 1 0.261 1
555 1 0.313 1
118 1 0.336 1
028 1 0.396 1
648 1 0.342 1
401 1 0.237 1
301 1 0.155 1
559 1 0.252 1
404 1 0.586 1
421 1 0.322 1
391 1 0.361 1
649 1 0.289 1
164 1 0.292 1
167 1 0.3 1
119 1 0.389 1
414 1 0.293 1
168 1 0.29 1
555 1 0.444 1
408 1 0.443 1
120 1 0.38 1
390 1 0.406 1
258 1 0.368 1
413 1 0.385 1
412 1 0.371 1
409 1 0.342 1
181 1 0.379 1
405 1 0.491 1
115 1 0.419 1
113 1 0.413 1
115 1 0.462 1
411 1 3.031 1
177 1 0.539 1
558 1 0.564 1
394 1 0.494 1
166 1 0.369 1
392 1 0.367 1
274 1 0.407 1
163 1 0.384 1
297 1 0.551 1
254 1 3.318 1
102 1 0.394 1
029 1 0.326 1
253 1 1.241 1
256 1 2 1
416 1 0.537 1
114 1 0.363 1
101 1 0.435 1
250 1 1.145 1
167 1 0.349 1
391 1 0.393 1
028 1 0.327 1
342 1 1.12 1
407 1 0.381 1
558 1 0.297 1
218 1 0.45 1
217 1 0.526 1
238 1 0.797 1
209 1 0.864 1
151 1 0.606 1
660 1 0.898 1
393 1 0.878 1
665 1 0.723 1
061 1 4.764 0
390 1 2.184 1
342 1 2.577 1
645 1 0.624 1
230 1 5.405 0
133 1 0.944 1
474 1 2.335 0
559 1 0.746 1
168 1 0.532 0
367 1 1.573 0
387 1 0.639 1
384 1 2.952 1
255 1 0.739 1
235 1 1.55 1
117 1 2.993 1
387 1 0.55 1
473 1 1.854 0
662 1 0.467 1
474 1 0.752 0
657 1 7.33 1
192 1 0.764 1
389 1 0.485 1
557 1 0.535 1
661 1 0.664 1
251 1 0.513 1
647 1 0.538 1
520 1 1.026 1
390 1 0.765 1
158 1 1.552 0
252 1 1.434 1
114 1 0.886 0
220 1 0.517 0
644 1 2.413 1
257 1 0.979 1
031 1 0.682 1
555 1 0.621 1
340 1 0.695 1
135 1 0.649 1
115 1 2.302 0
100 1 1.54 0
384 1 2.197 1
643 1 1.438 1
100 1 0.982 1
264 1 1.502 1
195 1 1.109 1
027 1 1.163 1
029 1 0.706 1
422 1 0.757 1
